Designator,Mid X,Mid Y,Rotation,Layer
C1,198.0,-81.5,0.0,top
C10,194.25,-80.75,90.0,top
C11,188.75,-82.25,90.0,top
C12,201.0,-83.75,90.0,top
C13,198.75,-86.0,315.0,top
C14,189.25,-90.0,180.0,top
C15,195.25,-75.72,180.0,top
C16,195.25,-78.0,180.0,top
C17,189.0,-78.0,180.0,top
C18,202.0,-66.867677,90.0,top
C2,198.0,-82.5,0.0,top
C3,198.0,-83.5,0.0,top
C4,199.5,-88.75,0.0,top
C5,199.5,-87.75,0.0,top
C6,191.0,-84.0,180.0,top
C7,189.25,-87.0,180.0,top
C8,189.25,-88.97,180.0,top
C9,189.25,-88.0,180.0,top
D1,190.0,-99.0,270.0,top
E1,204.5,-86.0,270.0,top
J2,192.265,-62.225,90.0,top
L1,199.5,-84.5,225.0,top
Q1,190.75,-75.0,270.0,top
R1,195.75,-82.0,90.0,top
R2,204.75,-94.75,0.0,top
R3,189.5,-94.75,0.0,top
R4,195.5,-94.0,270.0,top
R5,198.5,-94.0,270.0,top
R6,196.5,-94.0,90.0,top
R7,197.5,-94.0,90.0,top
R8,193.75,-64.5,180.0,top
R9,191.0,-78.0,0.0,top
SW1,202.5,-92.5,0.0,top
SW2,191.5,-92.5,0.0,top
U1,201.5,-75.75,180.0,top
U2,192.25,-69.0,270.0,top
U3,194.5,-87.0,315.0,top
USB1,196.862031,-98.4175,0.0,top
Y1,191.5,-81.5,180.0,top
